year,state,sector,gdp,gdp_capita
2015,Malaysia,S0,1176941,37739
2016,Malaysia,S0,1229312,38861
2017,Malaysia,S0,1300769,40620
2018,Malaysia,S0,1363766,42115
2019,Malaysia,S0,1423952,43783
2020,Malaysia,S0,1346249,41490
2021,Malaysia,S0,1390882,42696.149
2022,Malaysia,S0,1514139,46306.6
2023,Malaysia,S0,1567974,46942.732
2015,Johor,S0,110002.221,29539.05935
2016,Johor,S0,116682.227,31952.06216
2017,Johor,S0,123561.327,34362.09094
2018,Johor,S0,130585.945,36393.98467
2019,Johor,S0,134225.938,37341.98275
2020,Johor,S0,128073.564,33895.88461
2021,Johor,S0,131242.981,36457.32762
2022,Johor,S0,142369.692,41148.66541
2023,Johor,S0,148204.766,41901.93384
2015,Kedah,S0,39549.581,18248.80667
2016,Kedah,S0,41155.715,19151.86737
2017,Kedah,S0,43066.583,20326.80318
2018,Kedah,S0,44803.83,21409.91876
2019,Kedah,S0,46841.199,22412.09522
2020,Kedah,S0,46042.458,22693.22574
2021,Kedah,S0,47505.068,23572.05654
2022,Kedah,S0,50982.123,23483.80941
2023,Kedah,S0,51782.054,23672.28375
2015,Kelantan,S0,21407.736,12074.85109
2016,Kelantan,S0,22475.73,12811.84609
2017,Kelantan,S0,23501.175,13593.10122
2018,Kelantan,S0,24142.691,13667.82507
2019,Kelantan,S0,25479.178,14341.10019
2020,Kelantan,S0,25187.708,14950.82668
2021,Kelantan,S0,25781.895,15574.87505
2022,Kelantan,S0,26934.566,14723.98056
2023,Kelantan,S0,27647.952,14883.48265
2015,Melaka,S0,36077.257,39853.2839
2016,Melaka,S0,37712.736,41362.71045
2017,Melaka,S0,40829.986,46014.98422
2018,Melaka,S0,42375.671,47959.62765
2019,Melaka,S0,43583.397,49172.44791
2020,Melaka,S0,41030.449,42861.46904
2021,Melaka,S0,41871.632,44579.79722
2022,Melaka,S0,45579.035,45230.87739
2023,Melaka,S0,46933.449,45677.20309
2015,Negeri Sembilan,S0,40185.677,36698.70503
2016,Negeri Sembilan,S0,41771.246,38559.22708
2017,Negeri Sembilan,S0,43815.729,41614.74261
2018,Negeri Sembilan,S0,45694.04,43047.03768
2019,Negeri Sembilan,S0,48033.554,45372.57871
2020,Negeri Sembilan,S0,46336.101,41254.08992
2021,Negeri Sembilan,S0,47787.092,44498.81043
2022,Negeri Sembilan,S0,50939.264,42133.41146
2023,Negeri Sembilan,S0,51864.043,42361.75206
2015,Pahang,S0,49449.712,30342.82328
2016,Pahang,S0,50875.222,36244.15816
2017,Pahang,S0,54591.139,38952.09918
2018,Pahang,S0,56289.94,35576.96208
2019,Pahang,S0,58434.372,36560.23275
2020,Pahang,S0,54885.462,38010.31995
2021,Pahang,S0,55440.104,41340.66777
2022,Pahang,S0,61746.204,38291.1688
2023,Pahang,S0,64941.717,39533.09758
2015,Perak,S0,63175.555,25417.82096
2016,Perak,S0,65958.409,27246.16895
2017,Perak,S0,69336.571,29225.81917
2018,Perak,S0,73030.81,30302.92116
2019,Perak,S0,75992.708,31718.87812
2020,Perak,S0,74263.987,31625.99446
2021,Perak,S0,76900.997,34328.17798
2022,Perak,S0,80426.886,31893.65859
2023,Perak,S0,82558.744,32498.21041
2015,Perlis,S0,5352.875,21393.50042
2016,Perlis,S0,5569.584,22477.32114
2017,Perlis,S0,5694.648,23370.55541
